concept,isl_variant_description,isl_source,asl_variant_description,asl_source,verified_by,verified_date
hello,,,,,,
thank_you,,,,,,
please,,,,,,
sorry,,,,,,
pain,,,,,,
no,,,,,,
yes,,,,,,
help,,,,,,
water,,,,,,
food,,,,,,
medicine,,,,,,
doctor,,,,,,
family,,,,,,
work,,,,,,
school,,,,,,
home,,,,,,
money,,,,,,
phone,,,,,,
happy,,,,,,
sad,,,,,,
